Taxa	Latitude	Longitude
PI563338	13.0600004196167	-3.05999994277954
PI563348	12.460000038147	-3.46000003814697
PI563350	11.6599998474121	-1.05999994277954
PI563355	10.6333	-4.76666
PI329256	15.3199996948242	38.9199981689453
PI329286	9.57999992370605	41.8600006103516
PI329299	14.3999996185303	39.3800010681152
PI329300	14.3999996185303	39.3800010681152
PI329301	14.3999996185303	39.3800010681152
PI329310	9.30000019073486	42.1300010681152
PI329319	9.18000030517578	38.3300018310547
PI329326	9.13000011444092	37.0400009155273
PI329333	9.13000011444092	37.0499992370605
PI329338	10	39.8899993896484
PI329351	10.3000001907349	39.9799995422363
PI329394	11.1800003051758	40.0099983215332
PI329403	11.1300001144409	39.6300010681152
PI329435	15.3199996948242	38.9199981689453
PI329440	15.3199996948242	38.9199981689453
PI329465	9.39999961853027	38.8400001525879
PI329466	9.39999961853027	38.8400001525879
PI329471	8.6	39.1166667
PI329473	7.34999990463257	38.6699981689453
PI329478	7.84999990463257	36.0800018310547
PI329480	7.19999980926514	38.5999984741211
PI329501	7.94999980926514	39.1300010681152
PI329506	7.94999980926514	39.1300010681152
PI329510	8.53999996185303	39.2700004577637
PI329511	8.53999996185303	39.2700004577637
PI329517	8.73999977111816	38.9799995422363
PI329518	8.10999965667725	38.3699989318848
PI329519	8.10999965667725	38.3699989318848
PI329541	8.52999973297119	37.9799995422363
PI329545	8.27000045776367	37.7700004577637
PI329546	8.27000045776367	37.7700004577637
PI329550	7.67000007629395	36.8400001525879
PI329551	7.67000007629395	36.8400001525879
PI329554	7.67000007629395	36.8400001525879
PI329569	8.94999980926514	38.7099990844727
PI329570	7.84999990463257	36.6500015258789
PI329583	7.96000003814697	37.4300003051758
PI329584	7.96000003814697	37.4300003051758
PI329585	7.96000003814697	37.4300003051758
PI329605	8.97000026702881	37.8499984741211
PI329614	9.90999984741211	38.310001373291
PI329615	9.90999984741211	38.310001373291
PI329617	9	37.310001373291
PI329618	9	37.310001373291
PI329632	9.07999992370605	36.5499992370605
PI329644	8.93000030517578	36.5800018310547
PI329645	9.5600004196167	37.0999984741211
PI329646	9.5600004196167	37.0999984741211
PI329665	9.02999973297119	38.4000015258789
PI329673	9.02999973297119	38.4000015258789
PI329699	6.96000003814697	35.7599983215332
PI329702	9.67000007629395	39.5299987792969
PI329710	9.84000015258789	39.7599983215332
PI329711	9.84000015258789	39.7599983215332
PI329841	12.2299995422363	37.2900009155273
PI329843	11.5500001907349	37.3600006103516
PI329864	9.30000019073486	38.75
PI329865	9.30000019073486	38.75
PI330167	11.8299999237061	39.6800003051758
PI330168	11.8299999237061	39.6800003051758
PI330169	11.8299999237061	39.6800003051758
PI330181	12.1599998474121	39.6300010681152
PI330182	12.1599998474121	39.6300010681152
PI330184	12.4099998474121	39.5499992370605
PI330185	12.4099998474121	39.5499992370605
PI330195	14.0500001907349	39.560001373291
PI330196	13.6800003051758	39.5800018310547
PI330199	14.2799997329712	39.4599990844727
PI330796	7.05000019073486	37.5999984741211
PI330803	8.52999973297119	34.7999992370605
PI330807	8.52000045776367	34.7900009155273
PI330833	9.14999961853027	36.4000015258789
PI330858	8.32999992370605	41.5900001525879
PI337680	9.89999961853027	38.5800018310547
PI337689	9.03999996185303	40.9000015258789
PI221651	8.93000030517578	8.60000038146973
